# Averaged per day, units: EUR/MWh
%	 2473
%	 16
% Key	Time	SYS	SE1	SE2	SE3	SE4	FI	Oslo	Krsand	Bergen	Molde	Trheim	Tromse	EE	LT	
279	2013-10-06	37.2466666666667	37.6808333333333	37.6808333333333	37.6808333333333	37.6808333333333	37.6808333333333	37.0933333333333	37.0854166666667	37.0933333333333	37.6808333333333	37.6808333333333	37.6808333333333	40.7433333333333	64.3095833333333
280	2013-10-07	38.87	42.29125	42.29125	42.29125	42.29125	42.3958333333333	37.2741666666667	37.2741666666667	37.2741666666667	42.29875	42.29875	42.29875	42.3958333333333	68.3370833333333
281	2013-10-08	39.05375	43.7404166666667	43.7404166666667	43.7404166666667	43.7404166666667	43.7404166666667	37.1083333333333	37.1083333333333	37.1083333333333	43.7404166666667	43.7404166666667	43.7404166666667	43.7404166666667	70.0558333333333
282	2013-10-09	37.9729166666667	40.8608333333333	40.8608333333333	40.8608333333333	40.8608333333333	40.8608333333333	36.6233333333333	36.6233333333333	36.6233333333333	40.8608333333333	40.8608333333333	40.8608333333333	40.8608333333333	63.03625
283	2013-10-10	38.6875	42.4045833333333	42.4045833333333	42.5145833333333	42.74	42.5145833333333	36.8670833333333	36.8670833333333	36.8670833333333	42.4045833333333	42.4045833333333	42.4045833333333	42.5145833333333	52.21125
284	2013-10-11	37.89125	40.2454166666667	40.2454166666667	41.1558333333333	41.1558333333333	41.3741666666667	37.11875	37.11875	37.11875	40.2454166666667	40.2454166666667	40.2454166666667	41.3741666666667	67.2708333333333
285	2013-10-12	37.2804166666667	38.7416666666667	38.7416666666667	38.7416666666667	38.7416666666667	38.7416666666667	37.2266666666667	37.2266666666667	37.2266666666667	38.7416666666667	38.7416666666667	38.7416666666667	38.7416666666667	53.1166666666667
286	2013-10-13	37.445	39.3054166666667	39.3054166666667	39.3054166666667	39.3054166666667	39.3054166666667	37.10375	37.10375	37.10375	39.3054166666667	39.3054166666667	39.3054166666667	39.3054166666667	55.2745833333333
287	2013-10-14	41.1741666666667	45.2508333333333	45.2508333333333	49.4466666666667	49.4466666666667	52.9141666666667	38.08375	38.08375	38.08375	45.2508333333333	45.2508333333333	45.2508333333333	52.9141666666667	62.8354166666667
288	2013-10-15	42.0775	45.0029166666667	45.0029166666667	52.0995833333333	52.0995833333333	52.8329166666667	38.5045833333333	38.5045833333333	38.5045833333333	45.0029166666667	45.0029166666667	45.0029166666667	52.7458333333333	87.0045833333333
289	2013-10-16	43.1433333333333	48.4745833333333	48.4745833333333	56.8545833333333	56.8545833333333	93.9370833333333	38.4754166666667	38.4754166666667	38.4754166666667	48.4745833333333	48.4745833333333	48.4745833333333	93.9370833333333	108.443333333333
290	2013-10-17	40.9683333333333	48.2083333333333	48.2083333333333	48.23625	48.23625	66.7054166666667	38.13875	37.73375	38.13875	48.2083333333333	48.2083333333333	48.2083333333333	66.3279166666667	74.8516666666667
291	2013-10-18	40.9208333333333	45.82	45.82	45.8658333333333	45.8658333333333	56.4366666666667	38.5795833333333	38.37	38.5795833333333	45.82	45.82	45.82	56.42375	68.625
292	2013-10-19	39.6545833333333	44.9595833333333	44.9595833333333	44.9595833333333	44.9595833333333	44.9595833333333	38.1995833333333	38.0983333333333	38.1995833333333	44.9595833333333	44.9595833333333	44.9595833333333	45.92	66.0779166666667
293	2013-10-20	39.3166666666667	44.1695833333333	44.1695833333333	44.1695833333333	44.1695833333333	44.1695833333333	38.2541666666667	38.0170833333333	38.2541666666667	44.1695833333333	44.1695833333333	44.1695833333333	47.8495833333333	48.1829166666667
294	2013-10-21	44.1108333333333	49.8104166666667	49.8104166666667	50.2075	50.2075	50.2075	38.9295833333333	38.6404166666667	38.9295833333333	49.93875	49.93875	49.8104166666667	50.1725	59.3625
295	2013-10-22	39.9266666666667	43.94875	43.94875	43.94875	43.94875	43.94875	38.2791666666667	37.5375	38.10875	44.8529166666667	44.8529166666667	43.94875	43.94875	61.3266666666667
296	2013-10-23	37.7483333333333	41.8283333333333	41.8283333333333	41.8283333333333	41.8283333333333	41.92125	37.0429166666667	36.6766666666667	36.7133333333333	41.8295833333333	41.8295833333333	41.8295833333333	41.92125	50.7270833333333
297	2013-10-24	37.3541666666667	40.15	40.15	40.15	40.15	42.6070833333333	35.8483333333333	35.805	35.805	40.5120833333333	40.5120833333333	40.5120833333333	42.6070833333333	48.9158333333333
298	2013-10-25	37.7225	40.3995833333333	40.3995833333333	41.4091666666667	41.4091666666667	42.575	35.41375	35.3341666666667	35.41375	40.3995833333333	40.3995833333333	40.3995833333333	42.6429166666667	51.7391666666667
